(HH:MM:SS),(s),(YYYY-MM-DDTHH:MM:SS) (UTC date time format),(YYYY-MM-DDTHH:MM:SS) (Local date time format),(L*min^-1),(L),(C),(C),(C),(C),(C),(hPa),(hPa),(Pa),(%),(g*L^-1),(integer),(integer),(V),(g*min^-1),(V),(integer),(%),(#),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(um),(um),(ug),(-),(decimalDegree),(decimalDegree),(m),(integer),(m*s^-1),(-),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(%),(%),(%),(%),(%),(%),(#),(s),(s),(s),(s),(s),(s)
SampleTime,UnixTime,DateTimeUTC,DateTimeLocal,VolumetricFlowRate,SampledVolume,AtmoT,PumpT,FdpT,BattT,AccelT,AtmoP,PumpP,FdPdP,PumpRH,AtmoRho,PumpPow1,PumpPow2,PumpV,MassFlow,BFGvolt,BFGenergy,SOC,PMMeasCnt,PM1MC,PM1MCVar,PM2_5MC,PM2_5MCVar,PM4MC,PM4MCVar,PM10MC,PM10MCVar,PM0_5NC,PM0_5NCVar,PM1NC,PM1NCVar,PM2_5NC,PM2_5NCVar,PM4NC,PM4NCVar,PM10NC,PM10NCVar,PMtypicalParticleSize,PMtypicalParticleSizeVar,PM2_5SampledMass,GPSQual,GPSlat,GPSlon,GPSalt,GPSsat,GPSspeed,GPShDOP,AccelX,AccelXVar,AccelXMin,AccelXMax,AccelY,AccelYVar,AccelYMin,AccelYMax,AccelZ,AccelZVar,AccelZMin,AccelZMax,RotX,RotXVar,RotXMin,RotXMax,RotY,RotYVar,RotYMin,RotYMax,RotZ,RotZVar,RotZMin,RotZMax,Xup,XDown,Yup,Ydown,Zup,Zdown,StepCount,FLOWCTL,GPSRT,SD_DATAW,SD_HEADW,TPumpsOFF,TPumpsON
45:06:53,1701245460,2023-11-29T08:11:00,2023-11-29T10:11:00,1.001,2704.04,43.63,40.73,45.22,40.48,45.01,865.87,856.37,519.466675,24.33,0.9327,367,0,11.394,0.93055,3.96,47454,87,30.0,6.54,0.04,8.56,0.14,9.95,0.27,10.63,0.34,40.31,0.76,49.93,1.68,51.9,2.19,52.29,2.31,52.29,2.31,0.66,0.0,448.5236,0.0,-1.993864,30.746742,1359.7,12.0,0.38807,0.7,745.7,6737.1,526,932,-96.9,24924.0,-365,176,435.1,6562.4,243,619,671.7,545350848.0,-41020,44843,245.0,222191040.0,-36426,51642,-314.1,238839408.0,-39716,42498,0.0,96.7,0.0,0.0,0.0,3.3,0,0.226189,0.028809,0.083629,0.039349,0.0,30.0
45:07:23,1701245490,2023-11-29T08:11:30,2023-11-29T10:11:30,0.999,2704.54,43.4,40.69,44.92,40.48,44.96,865.68,856.57,519.166687,24.13,0.9338,367,0,11.393,0.93078,3.95,47440,87,30.0,6.9,0.2,8.7,0.35,9.9,0.48,10.48,0.55,43.36,7.78,53.08,11.9,54.81,12.85,55.15,13.05,55.15,13.05,0.66,0.0,448.5279,0.0,-1.993887,30.746758,1362.7,12.0,0.297606,0.6,698.7,5049.0,522,843,-91.7,27121.6,-348,354,478.2,3062.5,333,568,2568.4,347756736.0,-39383,54145,-511.0,140075792.0,-24342,42052,602.7,435177792.0,-37843,71050,0.0,100.0,0.0,0.0,0.0,0.0,0,0.234967,0.079844,0.093181,0.039373,0.0,30.0
45:07:53,1701245520,2023-11-29T08:12:00,2023-11-29T10:12:00,0.998,2705.03,43.38,40.7,44.72,40.48,45.15,865.87,856.67,516.700012,26.33,0.9332,367,0,11.393,0.92941,3.95,47425,87,30.0,9.88,21.43,12.86,39.29,14.9,55.25,15.91,64.1,61.05,783.19,75.48,1229.35,78.39,1345.95,78.98,1370.27,78.98,1370.27,0.69,0.0,448.5333,0.0,-1.993914,30.746788,1360.3,12.0,0.44975,0.6,702.2,4082.1,551,851,-146.5,16821.0,-302,169,469.0,4455.9,379,681,-307.9,371522688.0,-28157,53550,1943.4,128605400.0,-17561,28630,-2507.7,373041440.0,-44800,39908,0.0,96.7,0.0,0.0,0.0,3.3,0,0.225706,0.145763,0.08366,0.039421,0.0,30.0
45:08:23,1701245550,2023-11-29T08:12:30,2023-11-29T10:12:30,0.997,2705.53,43.64,40.72,44.78,40.48,45.39,865.92,856.27,521.150024,23.98,0.9327,367,0,11.393,0.92804,3.95,47410,87,30.0,7.94,2.95,11.08,5.3,13.36,7.37,14.48,8.52,47.1,108.88,59.68,169.78,62.83,185.18,63.48,188.38,63.48,188.38,0.72,0.0,448.5392,0.0,-1.993938,30.74678,1360.5,12.0,0.109996,0.6,751.5,2386.8,582,820,-144.0,5832.1,-304,62,427.4,3295.2,351,617,-2014.2,242626960.0,-45876,29723,1398.2,41951924.0,-17456,17675,-3153.4,158254944.0,-31412,35131,0.0,100.0,0.0,0.0,0.0,0.0,0,0.226851,0.189425,0.0836,0.038451,0.0,30.0
45:08:53,1701245580,2023-11-29T08:13:00,2023-11-29T10:13:00,0.996,2706.03,44.06,40.71,45.33,40.48,46.04,865.87,855.67,522.083313,28.76,0.9288,367,0,11.393,0.92804,3.95,47395,86,30.0,7.5,8.89,10.17,16.3,12.07,22.93,13.01,26.61,45.28,324.85,56.77,509.98,59.43,558.4,59.97,568.5,59.97,568.5,0.71,0.0,448.5445,0.0,-1.993934,30.746773,1356.7,12.0,0.150602,0.6,268.2,277277.4,-548,924,26.6,64448.0,-362,575,565.5,15234.1,257,788,-368.1,633979200.0,-78872,34790,-172.6,345102976.0,-45255,44651,-1524.8,526026432.0,-53865,40888,3.3,46.7,0.0,0.0,0.0,50.0,0,0.225882,0.066873,0.083428,0.038451,0.0,30.0
45:09:23,1701245610,2023-11-29T08:13:30,2023-11-29T10:13:30,1.001,2706.53,44.28,40.7,46.06,40.48,46.42,865.84,855.3,527.299988,24.36,0.9293,367,0,11.392,0.92918,3.95,47380,86,30.0,11.59,14.34,16.55,28.27,20.2,41.44,21.99,48.86,67.81,502.7,86.66,808.84,91.68,898.18,92.71,917.01,92.71,917.01,0.76,0.0,448.5512,0.0,-1.993934,30.746773,1356.7,12.0,0.323306,0.6,578.0,79285.2,-336,896,-66.7,77110.3,-392,699,486.7,7936.4,367,677,941.8,267040928.0,-31132,41072,4787.9,284217760.0,-44660,52272,1684.3,763139328.0,-51318,96092,0.0,70.0,0.0,6.7,0.0,23.3,0,0.226277,0.104949,0.083591,0.038466,0.0,30.0
45:09:53,1701245640,2023-11-29T08:14:00,2023-11-29T10:14:00,1.001,2707.03,44.46,40.7,46.31,40.48,46.56,865.81,855.0,523.18335,24.15,0.9285,367,0,11.39,0.92918,3.95,47365,86,30.0,8.42,21.45,12.9,45.28,16.29,68.59,17.96,81.82,46.99,718.65,61.82,1189.29,66.43,1340.74,67.38,1372.91,67.38,1372.91,0.8,0.0,448.5585,0.0,-1.993921,30.746721,1356.3,12.0,0.046774,0.6,707.2,3792.4,476,791,-179.8,8446.8,-264,43,463.4,3110.4,398,688,2003.1,188581136.0,-28096,58695,-1214.8,80864872.0,-37607,21087,1681.4,159846400.0,-28708,36750,0.0,93.3,0.0,0.0,0.0,6.7,0,0.235899,0.163313,0.092011,0.039454,0.0,30.0
45:10:23,1701245670,2023-11-29T08:14:30,2023-11-29T10:14:30,1.001,2707.53,44.72,40.69,46.51,40.48,46.69,865.71,854.74,523.56665,23.72,0.9275,367,0,11.394,0.92872,3.95,47350,86,30.0,8.68,16.27,12.89,35.47,16.04,54.6,17.58,65.51,49.48,533.82,64.23,894.96,68.53,1016.03,69.42,1041.85,69.42,1041.85,0.76,0.0,448.5649,0.0,-1.993949,30.746758,1355.2,12.0,0.256486,0.7,584.6,104645.3,-464,944,-56.1,59217.4,-598,664,518.2,9227.4,317,763,6361.4,667264960.0,-39733,94176,4405.8,347299008.0,-49087,44117,5723.6,693667520.0,-30502,91358,0.0,70.0,0.0,3.3,0.0,26.7,11,0.226757,0.053018,0.083637,0.038524,0.0,30.0
45:10:53,1701245700,2023-11-29T08:15:00,2023-11-29T10:15:00,1.001,2708.03,44.99,40.71,46.88,40.48,47.28,865.76,854.44,524.700012,22.79,0.9266,367,0,11.393,0.92964,3.95,47335,86,30.0,9.23,5.44,13.97,12.12,17.55,18.86,19.3,22.72,51.93,175.85,67.97,297.36,72.83,339.17,73.84,348.11,73.84,348.11,0.78,0.0,448.5716,0.0,-1.993959,30.746828,1352.3,12.0,0.230786,0.6,738.5,5518.6,571,972,-81.3,18665.5,-279,308,491.7,14740.5,329,908,-5724.2,396627040.0,-62798,26976,315.5,177403232.0,-31307,26127,-7456.3,416755520.0,-65082,40232,0.0,90.0,0.0,0.0,0.0,10.0,0,0.227057,0.096888,0.083648,0.038605,0.0,30.0
45:11:23,1701245730,2023-11-29T08:15:30,2023-11-29T10:15:30,1.004,2708.53,45.29,40.72,47.21,41.07,47.82,865.79,853.92,524.166687,24.13,0.9245,367,0,11.394,0.92895,3.95,47321,86,30.0,7.06,0.2,10.22,0.63,12.55,1.13,13.7,1.44,40.92,4.95,52.58,9.91,55.79,12.31,56.44,12.84,56.44,12.84,0.75,0.0,448.5777,0.0,-1.99392,30.746925,1357.3,12.0,0.28527,0.6,701.7,8701.7,483,874,-115.9,17720.2,-348,95,465.1,8625.5,282,618,3963.3,705138112.0,-33985,49402,-154.3,127405880.0,-20763,20912,4162.0,378788704.0,-44450,36487,0.0,83.3,0.0,0.0,0.0,16.7,0,0.226217,0.145041,0.0837,0.038503,0.0,30.0
45:11:53,1701245760,2023-11-29T08:16:00,2023-11-29T10:16:00,1.004,2709.03,45.7,40.76,47.6,41.07,48.11,865.6,853.32,526.349976,22.21,0.9232,367,0,11.395,0.92941,3.95,47306,86,30.0,6.72,0.24,9.33,0.4,11.22,0.54,12.14,0.62,40.02,9.04,50.6,13.75,53.22,14.8,53.75,15.02,53.75,15.02,0.74,0.0,448.5826,0.0,-1.993894,30.746964,1359.1,12.0,0.121818,0.7,551.7,94785.9,-234,865,29.2,56029.7,-285,567,538.9,14913.3,339,904,-781.1,605230080.0,-58187,68836,219.8,338028448.0,-37222,58038,-3867.4,578430848.0,-49586,69431,0.0,60.0,0.0,0.0,0.0,40.0,0,0.226089,0.0267,0.083464,0.039397,0.0,30.0
45:12:23,1701245790,2023-11-29T08:16:30,2023-11-29T10:16:30,1.006,2709.54,46.02,40.77,48.1,41.07,48.13,865.7,852.99,526.883362,20.22,0.9226,368,0,11.379,0.92712,3.95,47291,86,30.0,7.23,0.27,9.98,0.5,11.95,0.72,12.92,0.84,43.22,9.64,54.52,15.27,57.27,16.81,57.83,17.13,57.83,17.13,0.74,0.0,448.5875,0.0,-1.993886,30.746981,1359.4,12.0,0.515542,0.7,748.6,3367.2,558,852,-62.0,16488.5,-275,214,470.8,4638.2,309,685,1503.8,169087136.0,-28026,46252,284.0,57390684.0,-16476,22925,233.9,172028480.0,-31053,39287,0.0,96.7,0.0,0.0,0.0,3.3,0,0.234671,0.086151,0.09182,0.039447,0.0,30.0
45:12:53,1701245820,2023-11-29T08:17:00,2023-11-29T10:17:00,1.005,2710.04,46.08,40.81,48.44,41.07,48.3,865.7,852.98,524.333313,19.5,0.9227,368,0,11.379,0.92712,3.95,47276,86,30.0,11.36,34.23,16.86,61.91,20.98,86.63,23.0,100.37,64.79,1264.02,84.1,1971.18,89.72,2150.86,90.88,2188.31,90.88,2188.31,0.81,0.0,448.5943,0.0,-1.993868,30.747002,1358.7,12.0,0.111538,0.6,244.9,276558.7,-638,761,89.7,124605.9,-315,679,554.7,16099.5,302,874,3698.3,340625600.0,-57583,61337,4128.1,816664448.0,-68906,75897,6760.4,324056736.0,-28743,54267,16.7,20.0,0.0,0.0,0.0,63.3,0,0.225717,0.138266,0.083644,0.038471,0.0,30.0
45:13:23,1701245850,2023-11-29T08:17:30,2023-11-29T10:17:30,1.006,2710.54,45.83,40.82,48.37,41.07,47.7,865.78,853.22,522.233337,20.33,0.9234,369,0,11.369,0.92484,3.95,47261,86,30.0,7.5,0.03,11.72,0.1,14.93,0.19,16.51,0.26,41.27,0.63,54.77,1.23,59.13,1.55,60.02,1.63,60.02,1.63,0.8,0.0,448.6014,0.0,-1.993879,30.746988,1362.1,12.0,0.139294,0.6,23.3,280700.5,-688,680,228.3,117033.4,-267,655,542.1,20313.4,173,780,1548.6,456196640.0,-45701,55711,1515.8,475646080.0,-46471,57470,-3715.2,213879472.0,-43041,19433,0.0,16.7,0.0,36.7,0.0,46.7,0,0.229107,0.197765,0.084833,0.039446,0.0,30.0
45:13:53,1701245880,2023-11-29T08:18:00,2023-11-29T10:18:00,1.0,2711.04,45.5,40.82,47.92,41.07,47.44,865.73,853.69,521.016663,20.77,0.9249,369,0,11.367,0.92552,3.95,47246,86,30.0,8.96,9.27,13.85,21.86,17.56,34.92,19.39,42.47,49.69,288.39,65.63,499.73,70.67,577.38,71.71,594.09,71.71,594.09,0.79,0.0,448.6078,0.0,-1.993868,30.747011,1361.6,12.0,0.50629,0.6,495.4,135042.3,-548,838,-7.7,72957.9,-381,604,525.0,10321.7,310,722,1511.5,296494848.0,-32313,36286,478.8,231467040.0,-29741,50067,2239.9,549024000.0,-40110,41658,0.0,63.3,0.0,6.7,0.0,30.0,0,0.226067,0.181973,0.083641,0.03941,0.0,30.0
45:14:23,1701245910,2023-11-29T08:18:30,2023-11-29T10:18:30,1.001,2711.54,45.28,40.81,47.33,41.07,47.22,865.76,854.03,519.333313,18.61,0.9268,369,0,11.367,0.92415,3.95,47231,86,30.0,15.5,256.06,26.52,742.07,35.11,1298.13,39.34,1628.56,79.32,6812.63,110.24,13018.63,121.76,15815.32,124.15,16430.67,124.15,16430.67,0.9,0.01,448.6179,0.0,-1.993891,30.747013,1363.7,12.0,0.073502,0.6,747.2,5056.8,580,909,-202.0,12678.3,-481,76,440.0,5015.6,320,712,-3617.4,285339584.0,-39978,38412,-161.9,81801944.0,-20676,16275,-2420.5,147822048.0,-35796,21568,0.0,100.0,0.0,0.0,0.0,0.0,0,0.234731,0.230564,0.092024,0.03848,0.0,30.0
45:14:53,1701245940,2023-11-29T08:19:00,2023-11-29T10:19:00,0.997,2712.04,45.22,40.8,47.08,41.07,47.17,865.84,854.31,516.200012,22.46,0.9258,369,0,11.366,0.92484,3.95,47216,86,30.0,5.5,0.06,10.64,0.31,14.73,0.68,16.74,0.92,24.96,1.08,37.53,2.54,42.96,3.57,44.1,3.82,44.1,3.82,0.92,0.0,448.6271,0.0,-1.994008,30.747047,1361.3,12.0,0.499608,0.6,791.6,16224.1,573,1136,-101.1,55804.0,-769,440,446.1,9194.5,256,722,760.4,827007552.0,-58695,60191,-3666.5,393577664.0,-43942,39051,-4217.7,1887856768.0,-67497,161831,0.0,83.3,0.0,0.0,0.0,16.7,44,0.228397,0.131812,0.083538,0.03944,0.0,30.0
45:15:23,1701245970,2023-11-29T08:19:30,2023-11-29T10:19:30,0.997,2712.54,45.27,40.73,47.12,41.07,47.27,865.87,854.13,520.56665,19.99,0.9264,369,0,11.366,0.92301,3.95,47201,86,30.0,4.96,0.02,8.71,0.23,11.64,0.61,13.08,0.86,24.85,0.34,35.02,0.6,38.95,1.09,39.76,1.23,39.76,1.23,0.84,0.0,448.6319,0.0,-1.994178,30.747051,1360.1,12.0,0.505262,0.6,713.5,18213.8,430,946,-109.0,41318.9,-416,565,470.8,13262.4,278,816,7286.7,544754688.0,-39751,62072,-2719.8,483737376.0,-52298,39602,7714.1,1207474176.0,-107345,75827,0.0,90.0,0.0,0.0,0.0,10.0,36,0.225542,0.166765,0.083469,0.039434,0.0,30.0
45:15:53,1701246000,2023-11-29T08:20:00,2023-11-29T10:20:00,0.996,2713.03,45.49,40.67,47.3,41.07,47.6,865.9,853.63,519.116638,22.06,0.9243,369,0,11.366,0.92073,3.95,47186,86,30.0,5.12,0.42,8.09,0.7,10.36,0.94,11.47,1.07,27.95,16.35,37.29,24.7,40.36,26.48,40.99,26.85,40.99,26.85,0.79,0.0,448.6361,0.0,-1.994202,30.747175,1358.0,12.0,0.29812,0.6,703.8,18998.4,297,937,-60.5,35071.5,-404,345,517.1,26448.7,324,1050,1712.0,714489600.0,-64583,56218,2671.4,452795424.0,-32786,88182,4873.9,929938880.0,-78505,57330,0.0,83.3,0.0,0.0,0.0,16.7,29,0.225875,0.056684,0.083574,0.039485,0.0,30.0
45:16:23,1701246030,2023-11-29T08:20:30,2023-11-29T10:20:30,0.997,2713.53,45.75,40.68,47.58,41.07,47.99,865.84,853.34,522.616638,21.9,0.9232,369,0,11.365,0.92027,3.95,47171,86,30.0,8.25,2.37,12.61,6.03,15.9,10.0,17.52,12.32,46.14,69.83,60.63,125.03,65.11,147.02,66.03,151.79,66.03,151.79,0.79,0.0,448.6413,0.0,-1.994184,30.74721,1358.3,12.0,0.309942,0.6,-251.8,424040.0,-842,767,203.3,58505.8,-335,427,441.6,23392.0,132,786,-346.2,432158080.0,-74068,37345,-2639.6,1233258240.0,-76221,82293,3140.9,160627568.0,-22015,38018,50.0,30.0,0.0,0.0,0.0,20.0,21,0.226223,0.108498,0.08373,0.039483,0.0,30.0
45:16:53,1701246060,2023-11-29T08:21:00,2023-11-29T10:21:00,0.997,2714.03,45.92,40.72,47.88,41.07,48.23,865.87,853.21,523.116638,21.78,0.9225,369,0,11.367,0.92027,3.95,47156,86,30.0,7.44,1.2,11.42,3.3,14.43,5.63,15.91,7.01,41.44,33.17,54.57,61.89,58.67,74.25,59.51,76.95,59.51,76.95,0.79,0.0,448.6472,0.0,-1.994178,30.747349,1355.0,12.0,0.13364,0.6,746.4,10891.6,607,1063,-70.1,36018.3,-377,341,491.0,10005.3,279,803,3495.1,554720320.0,-46410,56770,-360.4,263596288.0,-31071,36338,791.6,545225152.0,-46497,43688,0.0,93.3,0.0,0.0,0.0,6.7,19,0.234707,0.155928,0.091993,0.038526,0.0,30.0
45:17:23,1701246090,2023-11-29T08:21:30,2023-11-29T10:21:30,0.999,2714.53,46.27,40.75,48.16,41.07,48.57,865.87,852.7,523.700012,21.54,0.9209,369,0,11.366,0.92005,3.95,47141,86,30.0,4.77,0.14,6.92,0.44,8.5,0.81,9.28,1.02,27.66,3.3,35.55,6.73,37.73,8.44,38.17,8.82,38.17,8.82,0.75,0.0,448.6518,0.0,-1.994178,30.747349,1355.0,12.0,0.055512,0.6,692.0,8526.9,523,856,-278.4,21322.9,-485,25,505.5,21388.6,196,1042,3284.7,771841024.0,-55317,84735,1783.6,538189760.0,-38692,92995,7665.8,734689280.0,-50671,103005,0.0,93.3,0.0,0.0,0.0,6.7,5,0.226587,0.021001,0.083671,0.039501,0.0,30.0
45:17:53,1701246120,2023-11-29T08:22:00,2023-11-29T10:22:00,1.0,2715.03,46.41,40.76,48.57,41.07,48.39,865.87,852.54,525.68335,20.97,0.9205,369,0,11.365,0.9205,3.95,47126,86,30.0,6.52,2.96,8.9,5.09,10.6,6.91,11.43,7.9,39.22,112.17,49.29,172.31,51.66,186.35,52.14,189.25,52.14,189.25,0.72,0.0,448.6558,0.0,-1.994136,30.747395,1357.4,12.0,0.13621,0.8,561.1,9984.8,379,842,-668.3,38054.3,-891,-191,137.0,93611.0,-142,674,-2535.2,213422704.0,-71513,22478,-2646.6,314311360.0,-88707,18226,2563.5,105933248.0,-23135,32812,0.0,60.0,30.0,0.0,0.0,10.0,0,0.225819,0.103079,0.083724,0.039482,0.0,30.0
45:18:23,1701246150,2023-11-29T08:22:30,2023-11-29T10:22:30,1.0,2715.52,46.1,40.75,48.6,41.07,47.77,865.82,852.94,523.599976,21.11,0.9219,369,0,11.369,0.92324,3.94,47111,86,30.0,9.17,0.7,12.41,1.33,14.71,1.93,15.84,2.26,55.46,25.43,69.48,40.15,72.69,44.16,73.34,45.0,73.34,45.0,0.74,0.0,448.6611,0.0,-1.99415,30.747414,1356.6,12.0,0.060652,0.9,536.6,5977.3,386,703,-493.3,109688.7,-883,-75,214.2,174823.1,-304,717,1233.9,239954192.0,-44345,52683,2082.4,76784544.0,-26302,18821,-2411.8,95827632.0,-33530,8058,0.0,13.3,50.0,0.0,0.0,36.7,0,0.225769,0.131555,0.083507,0.039437,0.0,30.0
45:18:53,1701246180,2023-11-29T08:23:00,2023-11-29T10:23:00,1.002,2716.02,45.62,40.75,48.01,41.07,47.16,865.76,853.56,522.549988,23.11,0.9234,369,0,11.365,0.92278,3.94,47097,86,30.0,6.63,0.22,8.87,0.52,10.45,0.83,11.22,1.01,40.38,6.65,50.38,11.59,52.59,13.43,53.04,13.83,53.04,13.83,0.71,0.0,448.6664,0.0,-1.99412,30.747425,1353.8,12.0,0.388584,0.9,448.2,7651.4,365,803,-173.7,40866.3,-723,49,648.7,30122.9,-49,858,-1623.4,109241416.0,-34361,18532,23.3,53558368.0,-14341,22128,1684.9,112973440.0,-14638,26215,0.0,3.3,10.0,0.0,0.0,86.7,0,0.226126,0.183567,0.083689,0.039421,0.0,30.0
45:19:23,1701246210,2023-11-29T08:23:30,2023-11-29T10:23:30,1.001,2716.52,45.24,40.75,47.24,41.07,46.63,865.82,854.16,521.950012,23.69,0.9251,369,0,11.364,0.92393,3.94,47082,86,30.0,10.58,9.71,14.56,16.08,17.43,21.39,18.83,24.3,63.3,376.43,79.8,570.05,83.78,611.62,84.59,620.16,84.59,620.16,0.76,0.0,448.6722,0.0,-1.994094,30.747459,1351.2,12.0,0.012336,0.6,442.4,2622.6,341,565,-32.0,19782.8,-359,155,694.9,1874.9,615,782,2079.0,50877616.0,-12293,25593,11.0,31514186.0,-14883,13370,505.8,77047240.0,-11130,33906,0.0,3.3,0.0,0.0,0.0,96.7,0,0.235744,0.083508,0.093112,0.039424,0.0,30.0
45:19:53,1701246240,2023-11-29T08:24:00,2023-11-29T10:24:00,1.0,2717.02,44.93,40.73,46.72,41.07,46.42,865.87,854.59,521.466675,22.47,0.9271,369,0,11.366,0.92598,3.94,47067,86,30.0,10.72,6.45,15.63,13.64,19.26,20.91,21.05,25.09,61.93,218.82,79.77,358.76,84.76,403.13,85.78,412.6,85.78,412.6,0.78,0.0,448.6797,0.0,-1.994095,30.747478,1348.6,12.0,0.083268,0.6,524.3,9554.6,234,814,4.1,52059.8,-699,218,609.8,13986.2,67,757,-702.5,137531888.0,-38526,20702,3176.9,98301928.0,-8636,41203,-1678.3,100330440.0,-32147,23660,0.0,26.7,3.3,0.0,0.0,70.0,0,0.358662,0.129933,0.21569,0.038552,0.0,30.0
45:20:23,1701246270,2023-11-29T08:24:30,2023-11-29T10:24:30,0.998,2717.52,44.61,40.73,46.33,41.07,46.1,865.79,854.92,518.43335,22.41,0.9285,369,0,11.365,0.9253,3.94,47052,86,30.0,15.22,27.04,25.75,79.79,33.94,142.1,37.97,179.56,78.64,731.43,108.62,1378.44,119.62,1670.48,121.9,1735.23,121.9,1735.23,0.89,0.0,448.69,0.0,-1.994098,30.747459,1350.5,12.0,0.184526,0.6,464.6,13392.6,267,732,-250.4,92300.0,-869,235,555.0,56137.9,13,736,1207.9,388362816.0,-45806,50172,-3811.1,188379136.0,-29575,39060,1379.6,130178104.0,-31640,23502,0.0,10.0,16.7,0.0,0.0,73.3,0,0.389137,0.169177,0.245508,0.039034,0.0,30.0
45:20:53,1701246300,2023-11-29T08:25:00,2023-11-29T10:25:00,0.996,2718.02,44.36,40.72,45.92,41.07,45.68,865.81,855.27,517.849976,26.66,0.9281,369,0,11.366,0.92712,3.94,47037,86,30.0,7.68,0.27,13.98,1.39,18.95,2.96,21.39,3.94,37.14,4.03,53.55,11.23,60.18,16.24,61.56,17.42,61.56,17.42,0.9,0.0,448.6999,0.0,-1.994093,30.747469,1347.0,12.0,0.024158,0.7,301.1,25474.7,45,740,-184.1,185860.4,-898,228,516.1,115290.8,-53,796,1528.6,90629824.0,-27973,29102,1077.2,72332808.0,-23931,22697,-1058.7,54367352.0,-22076,10202,0.0,0.0,30.0,0.0,0.0,70.0,0,0.228203,0.047204,0.083909,0.038482,0.0,30.0
45:21:23,1701246330,2023-11-29T08:25:30,2023-11-29T10:25:30,0.998,2718.51,44.12,40.71,45.59,41.07,45.37,865.79,855.59,519.81665,22.72,0.9308,369,0,11.365,0.9253,3.94,47022,86,30.0,6.6,0.09,10.76,0.8,13.96,1.93,15.54,2.67,35.17,0.63,47.64,2.95,51.96,5.38,52.85,5.99,52.85,5.99,0.81,0.0,448.7061,0.0,-1.994113,30.747431,1351.5,12.0,0.047802,0.7,400.8,33584.1,187,860,-67.5,123453.2,-777,197,574.5,66234.9,-106,771,-1915.1,133170984.0,-31657,22085,282.5,71947976.0,-13448,35883,-1784.1,138967728.0,-32051,21507,0.0,13.3,13.3,0.0,0.0,73.3,0,0.22618,0.059684,0.083757,0.03843,0.0,30.0
45:21:53,1701246360,2023-11-29T08:26:00,2023-11-29T10:26:00,0.993,2719.01,43.92,40.71,45.42,40.48,45.25,865.79,855.81,517.483337,26.12,0.9305,368,0,11.379,0.9285,3.94,47007,86,30.0,11.86,32.19,18.63,74.15,23.79,117.27,26.33,142.09,65.02,1017.58,86.51,1745.13,93.5,2005.51,94.94,2061.4,94.94,2061.4,0.82,0.0,448.7134,0.0,-1.994073,30.747459,1353.4,12.0,0.16705,0.6,337.3,4089.1,265,572,85.0,29357.4,-297,304,692.1,1101.7,546,751,291.4,96651928.0,-20991,22391,631.8,37770820.0,-15050,15583,8.4,88796880.0,-23353,26740,0.0,0.0,0.0,0.0,0.0,100.0,0,0.234683,0.099622,0.091986,0.03849,0.0,30.0
45:22:23,1701246390,2023-11-29T08:26:30,2023-11-29T10:26:30,0.998,2719.51,43.77,40.7,45.12,40.48,45.29,865.73,856.03,519.68335,26.7,0.931,368,0,11.378,0.92735,3.94,46992,86,30.0,7.0,0.41,10.74,1.39,13.57,2.59,14.96,3.31,39.02,9.48,51.36,19.76,55.21,25.05,56.0,26.23,56.0,26.23,0.77,0.0,448.7207,0.0,-1.994025,30.747484,1348.6,12.0,0.219478,0.6,282.7,10807.9,181,619,132.4,78034.2,-777,404,665.1,13152.7,272,748,2826.0,190448432.0,-13238,44712,-1247.8,82941776.0,-39366,15680,-1040.4,92870512.0,-21831,20466,0.0,6.7,3.3,0.0,0.0,90.0,0,0.227661,0.150684,0.083813,0.039435,0.0,30.0
45:22:53,1701246420,2023-11-29T08:27:00,2023-11-29T10:27:00,0.995,2720.01,43.63,40.7,44.99,40.48,44.67,865.76,856.22,521.650024,24.35,0.9326,367,0,11.393,0.92804,3.94,46977,85,30.0,5.86,0.02,8.26,0.1,10.0,0.27,10.86,0.38,34.59,0.61,43.97,0.8,46.38,0.96,46.88,1.01,46.88,1.01,0.71,0.0,448.7255,0.0,-1.994051,30.747486,1348.0,12.0,0.131584,0.7,394.9,16692.2,243,728,-61.3,132843.1,-926,249,590.0,46473.3,-68,739,2072.5,423241632.0,-25042,95182,-1338.8,126859360.0,-33993,21682,-1284.4,173414256.0,-28455,32943,0.0,3.3,20.0,0.0,0.0,76.7,0,0.225745,0.031638,0.083678,0.038448,0.0,30.0
