(HH:MM:SS),(s),(YYYY-MM-DDTHH:MM:SS) (UTC date time format),(YYYY-MM-DDTHH:MM:SS) (Local date time format),(L*min^-1),(L),(C),(C),(C),(C),(C),(hPa),(hPa),(Pa),(%),(g*L^-1),(integer),(integer),(V),(g*min^-1),(V),(integer),(%),(#),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(um),(um),(ug),(-),(decimalDegree),(decimalDegree),(m),(integer),(m*s^-1),(-),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(%),(%),(%),(%),(%),(%),(#),(s),(s),(s),(s),(s),(s)
SampleTime,UnixTime,DateTimeUTC,DateTimeLocal,VolumetricFlowRate,SampledVolume,AtmoT,PumpT,FdpT,BattT,AccelT,AtmoP,PumpP,FdPdP,PumpRH,AtmoRho,PumpPow1,PumpPow2,PumpV,MassFlow,BFGvolt,BFGenergy,SOC,PMMeasCnt,PM1MC,PM1MCVar,PM2_5MC,PM2_5MCVar,PM4MC,PM4MCVar,PM10MC,PM10MCVar,PM0_5NC,PM0_5NCVar,PM1NC,PM1NCVar,PM2_5NC,PM2_5NCVar,PM4NC,PM4NCVar,PM10NC,PM10NCVar,PMtypicalParticleSize,PMtypicalParticleSizeVar,PM2_5SampledMass,GPSQual,GPSlat,GPSlon,GPSalt,GPSsat,GPSspeed,GPShDOP,AccelX,AccelXVar,AccelXMin,AccelXMax,AccelY,AccelYVar,AccelYMin,AccelYMax,AccelZ,AccelZVar,AccelZMin,AccelZMax,RotX,RotXVar,RotXMin,RotXMax,RotY,RotYVar,RotYMin,RotYMax,RotZ,RotZVar,RotZMin,RotZMax,Xup,XDown,Yup,Ydown,Zup,Zdown,StepCount,FLOWCTL,GPSRT,SD_DATAW,SD_HEADW,TPumpsOFF,TPumpsON
40:44:53,1669782930,2022-11-30T04:35:30,2022-11-30T06:35:30,1.005,2131.4,25.56,26.3,27.07,26.42,27.82,863.42,862.34,130.566666,51.15,0.9983,603,0,9.014,1.00013,3.32,18705,20,30,124.67,69.9,131.83,78.16,131.83,78.16,131.83,78.16,852.88,3271.44,992.16,4427.19,994.95,4451.88,995.3,4455.31,995.3,4455.31,0.48,0.0,101.1677,0,-1.981081,30.747063,1412.6,9,0.629136,0.9,867.5,1.6,864,869,144.6,1.4,144,148,-483.9,264.1,-533,-475,142.3,8118.2,61,376,338.3,814.3,245,385,-866.4,271.2,-910,-840,0.0,100.0,0.0,0.0,0.0,0.0,0,0.22753,0.146889,0.082879,0.03815,23.971891,6.027458
40:45:23,1669782960,2022-11-30T04:36:00,2022-11-30T06:36:00,1.003,2131.5,25.57,26.3,27.08,26.42,27.88,863.37,862.42,130.733337,51.12,0.9984,603,0,9.012,1.00032,3.32,18697,20,30,120.21,12.91,127.12,14.43,127.12,14.43,127.12,14.43,822.42,604.19,956.72,817.25,959.41,822.06,959.76,822.56,959.76,822.56,0.48,0.0,101.1806,0,-1.981087,30.747007,1375.4,9,0.452834,0.9,867.5,1.0,865,868,144.8,1.2,144,148,-483.4,252.2,-525,-475,133.4,7077.7,43,332,331.3,762.0,271,411,-865.6,237.4,-892,-840,0.0,100.0,0.0,0.0,0.0,0.0,0,0.2194,0.021693,0.07457,0.038126,23.971891,6.028205
40:45:53,1669782990,2022-11-30T04:36:30,2022-11-30T06:36:30,1.003,2131.6,25.57,26.34,27.1,26.42,28.09,863.4,862.5,129.96666,51.09,0.9985,603,0,9.015,1.0007,3.32,18688,20,30,135.1,147.75,142.86,165.22,142.86,165.21,142.86,165.21,924.24,6915.44,1075.16,9357.88,1078.18,9410.75,1078.57,9417.62,1078.57,9417.62,0.47,0.0,101.194,0,-1.981052,30.746983,1341.5,9,0.396294,0.9,887.1,115.3,866,894,197.2,856.9,144,219,-424.1,1258.2,-509,-385,467.9,2581339.2,61,9065,-445.2,14838708.0,-21113,393,-773.2,211478.3,-892,1688,0.0,100.0,0.0,0.0,0.0,0.0,0,0.218499,0.075501,0.07452,0.038085,23.972734,6.027483
40:46:23,1669783020,2022-11-30T04:37:00,2022-11-30T06:37:00,1.003,2131.7,25.59,26.36,27.1,26.42,27.93,863.52,862.49,130.066666,50.96,0.9984,603,0,9.014,1.00205,3.32,18679,20,30,103.37,54.7,109.31,61.16,109.31,61.16,109.31,61.16,707.17,2560.0,822.65,3464.44,824.96,3483.56,825.25,3486.19,825.25,3486.19,0.48,0.0,101.2066,0,-1.980948,30.747082,1307.5,9,0.505776,0.9,893.6,1.2,891,895,215.0,1.8,214,219,-404.5,332.3,-459,-395,132.1,7417.2,52,393,342.6,422.9,306,376,-865.0,225.7,-892,-840,0.0,100.0,0.0,0.0,0.0,0.0,0,0.219707,0.125071,0.074563,0.038081,23.971806,6.02753
40:46:53,1669783050,2022-11-30T04:37:30,2022-11-30T06:37:30,1.003,2131.8,25.6,26.35,27.12,26.42,27.69,863.4,862.44,130.100006,50.92,0.9983,603,0,9.017,1.00224,3.32,18671,20,30,93.64,1.48,99.02,1.65,99.02,1.65,99.02,1.65,640.59,68.69,745.2,93.25,747.29,93.94,747.56,93.88,747.56,93.88,0.48,0.0,101.217,0,-1.980893,30.747122,1299.5,9,0.395266,0.9,893.9,1.3,891,895,215.7,1.4,214,220,-402.5,276.0,-455,-394,123.3,8051.9,-8,315,345.8,1552.7,253,455,-870.0,298.7,-910,-831,0.0,100.0,0.0,0.0,0.0,0.0,0,0.218777,0.174324,0.074406,0.038078,23.971842,6.028244
40:47:23,1669783080,2022-11-30T04:38:00,2022-11-30T06:38:00,1.004,2131.9,25.61,26.37,27.16,26.42,28.14,863.47,862.49,129.633331,50.96,0.9983,603,0,9.015,1.00147,3.31,18662,20,30,85.69,5.05,90.61,5.65,90.61,5.65,90.61,5.65,586.22,236.69,681.95,320.25,683.87,321.84,684.11,322.38,684.11,322.38,0.49,0.0,101.2265,0,-1.980934,30.747129,1336.5,8,0.229758,1.1,894.2,1.5,890,895,216.2,1.5,215,220,-402.1,299.6,-454,-393,138.4,6873.4,61,358,329.2,1183.3,245,402,-867.4,203.8,-901,-831,0.0,100.0,0.0,0.0,0.0,0.0,0,0.217848,0.174755,0.074275,0.03908,24.022837,6.027372
40:47:53,1669783110,2022-11-30T04:38:30,2022-11-30T06:38:30,1.004,2132.0,25.61,26.35,27.17,26.42,28.07,863.45,862.41,130.433334,50.98,0.9982,603,0,9.017,1.00205,3.31,18654,20,30,82.38,3.25,87.12,3.63,87.12,3.63,87.12,3.63,563.61,152.12,655.64,205.78,657.49,206.81,657.72,206.91,657.72,206.91,0.48,0.0,101.2354,0,-1.980957,30.74712,1334.4,8,0.237982,1.0,894.3,1.7,890,896,216.5,1.4,215,220,-401.6,295.2,-449,-393,141.7,5493.8,70,358,329.8,656.5,271,385,-864.1,267.1,-892,-831,0.0,100.0,0.0,0.0,0.0,0.0,0,0.226319,0.060301,0.082557,0.039071,23.97282,6.027396
40:48:23,1669783140,2022-11-30T04:39:00,2022-11-30T06:39:00,1.004,2132.1,25.62,26.39,27.18,26.42,28.23,863.5,862.41,130.733337,50.93,0.9982,603,0,9.017,1.00359,3.31,18645,20,30,83.72,0.24,88.53,0.27,88.53,0.27,88.53,0.27,572.72,11.31,666.25,15.16,668.12,15.34,668.36,15.25,668.36,15.25,0.49,0.0,101.2442,0,-1.980939,30.747162,1317.2,8,0.801326,1.1,894.6,1.1,892,896,217.1,1.5,216,221,-400.5,251.9,-440,-390,128.9,7338.9,52,402,338.2,3129.4,122,420,-868.5,324.1,-936,-840,0.0,100.0,0.0,0.0,0.0,0.0,0,0.218475,0.110318,0.074495,0.039076,23.97287,6.026463
40:48:53,1669783170,2022-11-30T04:39:30,2022-11-30T06:39:30,1.004,2132.2,25.63,26.38,27.16,26.42,27.77,863.39,862.38,130.300003,50.84,0.9981,603,0,9.017,1.00301,3.31,18636,20,30,80.2,4.48,84.81,5.01,84.81,5.01,84.81,5.01,548.67,209.59,638.26,283.56,640.06,285.34,640.29,285.41,640.29,285.41,0.48,0.0,101.2529,0,-1.980861,30.747108,1323.1,8,0.515028,1.1,895.0,1.6,892,896,218.1,1.7,217,222,-399.9,311.9,-452,-390,135.8,7226.2,35,323,337.7,1430.7,227,402,-864.5,366.8,-901,-822,0.0,100.0,0.0,0.0,0.0,0.0,0,0.21773,0.162126,0.074534,0.038118,23.972853,6.027351
40:49:23,1669783200,2022-11-30T04:40:00,2022-11-30T06:40:00,1.003,2132.3,25.65,26.41,27.17,26.42,28.15,863.54,862.43,129.850006,50.92,0.9981,603,0,9.017,1.00321,3.31,18628,20,30,77.73,3.6,82.2,4.03,82.2,4.02,82.2,4.02,531.8,168.41,618.65,227.88,620.38,229.38,620.61,229.47,620.61,229.47,0.47,0.0,101.2612,0,-1.98098,30.747116,1327.1,9,0.798756,0.9,711.9,75956.8,115,974,244.0,43179.2,-40,717,136.7,267525.4,-594,907,921.8,1272797440.0,-87185,87701,1694.7,1987900416.0,-111702,131005,-938.4,1286168064.0,-108517,132895,0.0,73.3,0.0,10.0,0.0,16.7,16,0.217999,0.052342,0.074569,0.03812,23.972801,6.027296
40:49:53,1669783230,2022-11-30T04:40:30,2022-11-30T06:40:30,1.005,2132.4,25.64,26.43,27.2,26.42,27.86,863.49,862.48,130.416672,51.35,0.9981,603,0,9.013,1.00321,3.31,18619,20,30,170.11,19702.37,179.89,22031.73,179.89,22031.75,179.89,22031.75,1163.78,922139.38,1353.82,1247895.12,1357.62,1254920.38,1358.11,1255821.12,1358.11,1255821.12,0.49,0.0,101.2743,0,-1.981106,30.74707,1348.8,9,0.078642,0.9,698.9,210701.6,-361,1225,143.3,71005.9,-576,690,343.0,152847.5,-291,1359,-423.2,2250793216.0,-151060,68880,-5653.1,2671042048.0,-265763,46173,3938.7,677513280.0,-44546,110635,0.0,73.3,0.0,10.0,0.0,16.7,0,0.221604,0.27721,0.077978,0.038129,23.97382,6.027404
40:50:23,1669783260,2022-11-30T04:41:00,2022-11-30T06:41:00,1.005,2132.5,25.63,26.53,27.15,26.42,28.04,863.4,862.59,130.53334,51.02,0.9984,603,0,9.015,1.00321,3.31,18611,20,30,248.73,31738.55,263.14,35565.71,263.24,35629.2,263.29,35660.45,1701.32,1484148.25,1979.37,2009497.0,1985.07,2021444.75,1985.81,2023031.25,1985.81,2023031.25,0.53,0.0,101.2965,0,-1.981104,30.747087,1368.9,8,0.280644,1.1,918.9,5280.5,703,1000,42.8,24644.1,-331,320,229.3,83320.8,-523,643,-3009.2,535721504.0,-57881,76518,-835.3,903932352.0,-73806,75853,-1811.1,192443456.0,-63796,20098,0.0,100.0,0.0,0.0,0.0,0.0,0,0.264765,0.155896,0.117702,0.038381,23.972786,6.027408
40:50:53,1669783290,2022-11-30T04:41:30,2022-11-30T06:41:30,1.004,2132.6,25.6,26.63,27.1,26.42,27.98,863.36,862.76,130.5,52.02,0.9985,603,0,9.015,1.00282,3.31,18602,20,30,124.73,2306.63,131.91,2582.49,131.93,2585.16,131.94,2586.47,853.24,107902.94,992.61,146065.75,995.42,146914.19,995.79,147025.25,995.79,147025.25,0.53,0.0,101.3163,0,-1.981088,30.747116,1386.3,9,0.136724,1.0,982.2,595.8,893,1025,-94.1,3916.3,-221,18,-165.7,5766.3,-327,-31,-536.6,135662896.0,-34641,21822,-269.8,20422404.0,-12223,7787,-1111.4,22278868.0,-12092,9511,0.0,100.0,0.0,0.0,0.0,0.0,0,0.222382,0.028702,0.075273,0.039198,23.970997,6.02734
40:51:23,1669783320,2022-11-30T04:42:00,2022-11-30T06:42:00,1.003,2132.7,25.6,26.77,27.1,26.42,28.23,863.48,863.0,130.03334,51.46,0.9989,603,0,9.021,1.00224,3.31,18593,19,30,70.41,4.62,74.46,5.17,74.46,5.17,74.46,5.17,481.73,216.28,560.39,292.78,561.97,294.5,562.17,294.41,562.17,294.41,0.51,0.0,101.3266,0,-1.981064,30.747084,1390.1,8,0.208684,1.1,977.4,333.8,935,1011,-148.7,4316.8,-275,-4,55.4,27331.9,-265,316,-3701.4,138350112.0,-38053,23756,1183.3,87658200.0,-28603,26066,-350.9,25878210.0,-19836,7350,0.0,100.0,0.0,0.0,0.0,0.0,0,0.219412,0.078655,0.074401,0.038943,23.972912,6.027313
40:51:53,1669783350,2022-11-30T04:42:30,2022-11-30T06:42:30,1.003,2132.8,25.61,26.87,27.07,26.42,28.16,863.49,863.2,130.46666,52.78,0.9989,603,0,9.021,1.00301,3.31,18585,19,30,50.12,40.73,53.0,45.54,53.0,45.54,53.0,45.54,342.91,1906.17,398.91,2579.67,400.03,2594.12,400.18,2595.97,400.18,2595.97,0.5,0.0,101.333,0,-1.981073,30.747057,1382.0,10,0.520682,1.0,996.9,545.0,957,1056,-5.7,4885.5,-202,197,-125.6,9031.3,-308,90,-1669.8,141371552.0,-35507,23231,1047.1,58097708.0,-15172,20466,1063.7,80477256.0,-11593,43645,0.0,100.0,0.0,0.0,0.0,0.0,0,0.21769,0.132162,0.074345,0.038048,23.972813,6.027264
40:52:23,1669783380,2022-11-30T04:43:00,2022-11-30T06:43:00,1.006,2132.9,25.62,26.99,27.06,26.42,28.17,863.53,863.31,130.21666,51.26,0.9992,604,0,9.015,1.00321,3.31,18576,19,30,48.78,545.28,51.58,609.74,51.58,609.74,51.58,609.74,333.72,25520.8,388.21,34536.28,389.3,34730.75,389.44,34755.64,389.44,34755.64,0.51,0.0,101.3382,0,-1.981091,30.747087,1379.3,11,0.581334,1.0,1017.9,13329.2,875,1447,-73.6,16110.4,-577,101,-94.9,6149.7,-234,167,-5378.5,152421008.0,-31631,23747,-541.6,183944992.0,-58082,22540,3.8,47840040.0,-14341,22793,0.0,100.0,0.0,0.0,0.0,0.0,0,0.226124,0.193818,0.08267,0.038964,23.971952,6.027372
40:52:53,1669783410,2022-11-30T04:43:30,2022-11-30T06:43:30,1.005,2133.0,25.62,27.09,27.07,26.42,28.01,863.54,863.43,129.266663,51.72,0.9993,604,0,9.018,1.00321,3.31,18568,19,30,22.27,62.94,23.55,70.38,23.55,70.38,23.55,70.38,152.36,2945.95,177.24,3986.63,177.73,4009.07,177.8,4011.95,177.8,4011.95,0.51,0.0,101.342,0,-1.981116,30.747297,1401.1,10,1.347708,0.9,681.0,29706.9,249,1106,173.3,10780.7,-94,424,683.6,48029.8,77,975,4301.8,1911924864.0,-92671,154848,2002.3,374483840.0,-29898,72922,-1165.4,202488304.0,-48711,37380,0.0,23.3,0.0,0.0,0.0,76.7,12,0.218138,0.068238,0.074502,0.038922,23.971811,6.028313
40:53:23,1669783440,2022-11-30T04:44:00,2022-11-30T06:44:00,1.004,2133.1,25.64,27.18,27.09,27.0,28.03,863.48,863.52,130.5,50.95,0.9994,604,0,9.018,1.00128,3.31,18559,19,30,31.71,160.75,33.54,179.75,33.54,179.75,33.54,179.75,216.96,7523.52,252.39,10181.25,253.1,10238.61,253.19,10245.93,253.19,10245.93,0.5,0.0,101.3448,0,-1.981153,30.747471,1439.3,10,0.514514,1.0,665.3,56798.2,325,1249,46.0,20988.5,-251,315,673.1,77210.3,81,971,-8210.7,730502272.0,-92050,46103,1396.7,504750304.0,-81646,53331,-2254.7,201470384.0,-25926,53173,0.0,26.7,0.0,0.0,0.0,73.3,0,0.217014,0.128693,0.074256,0.038858,23.972782,6.027404
40:53:53,1669783470,2022-11-30T04:44:30,2022-11-30T06:44:30,1.002,2133.2,25.6,27.28,27.08,27.0,28.03,863.34,863.71,131.199997,51.64,0.9997,604,0,9.017,1.00263,3.31,18550,19,30,138.8,6179.72,146.78,6910.34,146.78,6910.35,146.78,6910.35,949.58,289232.38,1104.65,391406.75,1107.75,393610.62,1108.15,393892.75,1108.15,393892.75,0.5,0.0,101.3538,0,-1.981063,30.747217,1401.3,10,0.156256,1.0,939.4,9911.6,725,1223,-86.4,10952.4,-300,135,316.0,21041.0,1,631,7774.2,1474402176.0,-76580,78627,1032.8,479143360.0,-31333,68311,1437.0,221913632.0,-50330,29295,0.0,100.0,0.0,0.0,0.0,0.0,20,0.217151,0.355066,0.07417,0.038923,23.973688,6.027537
40:54:23,1669783500,2022-11-30T04:45:00,2022-11-30T06:45:00,1.004,2133.3,25.57,27.36,27.0,27.0,28.01,863.38,863.88,130.133331,51.72,1.0,604,0,9.02,1.0034,3.31,18542,19,30,90.56,185.8,95.77,207.77,95.77,207.77,95.77,207.77,619.56,8696.16,720.73,11768.0,722.76,11834.44,723.01,11842.97,723.01,11842.97,0.49,0.0,101.3659,0,-1.981039,30.747091,1381.5,10,0.11565,0.9,940.0,5910.2,728,1196,-87.6,16396.8,-324,286,315.2,29643.2,88,984,9815.0,668449024.0,-35183,98796,-1971.6,213361344.0,-35280,34116,6434.1,411376288.0,-15478,101806,0.0,100.0,0.0,0.0,0.0,0.0,0,0.227979,0.055134,0.082565,0.03813,23.971813,6.027419
40:54:53,1669783530,2022-11-30T04:45:30,2022-11-30T06:45:30,1.005,2133.4,25.55,27.38,27.0,27.0,27.67,863.38,863.83,130.46666,51.96,1.0,604,0,9.021,1.00417,3.31,18533,19,30,58.65,2.68,62.02,3.0,62.02,3.0,62.02,3.0,401.22,125.62,466.73,170.0,468.04,171.0,468.21,171.11,468.21,171.11,0.47,0.0,101.3738,0,-1.980973,30.747015,1384.0,9,0.132098,1.2,966.5,833.6,902,1038,-213.9,4432.4,-385,-118,117.5,17459.9,-74,459,-2042.5,123270296.0,-34396,29225,579.9,41197756.0,-12792,16353,-587.6,21072958.0,-11042,9003,0.0,100.0,0.0,0.0,0.0,0.0,0,0.217878,0.111576,0.074386,0.037992,23.972803,6.027375
40:55:23,1669783560,2022-11-30T04:46:00,2022-11-30T06:46:00,1.004,2133.5,25.54,27.44,26.97,27.0,27.93,863.42,863.98,129.883331,51.61,1.0002,604,0,9.019,0.99859,3.31,18525,19,30,63.74,2.02,67.41,2.26,67.41,2.26,67.41,2.26,436.09,94.56,507.3,127.95,508.73,128.69,508.91,128.78,508.91,128.78,0.47,0.0,101.3803,0,-1.981032,30.747019,1381.6,12,1.012066,0.9,978.1,7075.2,646,1224,-175.4,7906.3,-258,48,53.0,4262.5,-22,313,4955.1,672259904.0,-43890,102331,-281.8,109790000.0,-32628,23187,868.1,119481792.0,-26180,51686,0.0,100.0,0.0,0.0,0.0,0.0,0,0.219901,0.109021,0.076272,0.038923,24.022902,6.027351
40:55:53,1669783590,2022-11-30T04:46:30,2022-11-30T06:46:30,1.003,2133.6,25.54,27.5,26.95,27.0,27.87,863.41,864.11,130.300003,51.91,1.0003,604,0,9.023,1.00321,3.31,18516,19,30,80.42,64.44,85.04,72.07,85.04,72.06,85.04,72.06,550.16,3016.41,640.0,4081.78,641.79,4104.75,642.03,4107.66,642.03,4107.66,0.47,0.0,101.3879,0,-1.981067,30.74703,1369.9,12,0.757122,1.1,921.0,23141.9,423,1071,-10.0,29236.6,-333,438,267.9,35708.4,-27,915,782.2,1873555456.0,-156765,69492,4663.7,578796544.0,-51012,84350,337.7,365597920.0,-40766,47740,0.0,96.7,0.0,0.0,0.0,3.3,0,0.22006,0.161306,0.076875,0.038279,23.972818,6.026526
40:56:23,1669783620,2022-11-30T04:47:00,2022-11-30T06:47:00,1.003,2133.7,25.53,27.54,26.96,27.0,27.89,863.43,864.19,130.46666,51.75,1.0005,604,0,9.02,1.00263,3.31,18507,19,30,83.39,5.37,88.18,6.0,88.18,6.01,88.18,6.01,570.5,251.5,663.66,340.25,665.53,342.09,665.77,342.34,665.77,342.34,0.47,0.0,101.3965,0,-1.981068,30.747068,1373.4,12,0.160882,0.9,732.1,116745.0,155,1097,26.8,21627.2,-198,343,472.1,113722.0,-86,1003,653.5,230877264.0,-64382,29058,-2010.7,26999936.0,-16616,11366,-94.6,80727792.0,-28166,21805,0.0,66.7,0.0,0.0,0.0,33.3,0,0.227802,0.041949,0.083508,0.03923,23.972883,6.027306
40:56:53,1669783650,2022-11-30T04:47:30,2022-11-30T06:47:30,1.005,2133.8,25.54,27.6,26.97,27.0,27.98,863.45,864.31,131.183334,51.58,1.0006,604,0,9.023,1.00417,3.31,18499,19,30,59.55,80.27,62.97,89.76,62.97,89.76,62.97,89.76,407.37,3756.81,473.89,5083.91,475.22,5112.53,475.39,5116.25,475.39,5116.25,0.48,0.0,101.4041,0,-1.981068,30.747068,1373.4,12,0.027756,0.9,608.3,92141.5,203,1022,70.1,12445.0,-247,229,645.2,119251.0,73,1023,-5772.1,605052416.0,-116462,15435,1016.7,129498136.0,-30100,32121,-1697.2,136760928.0,-47512,22023,0.0,43.3,0.0,0.0,0.0,56.7,0,0.217894,0.086404,0.074453,0.038147,23.97282,6.027275
40:57:23,1669783680,2022-11-30T04:48:00,2022-11-30T06:48:00,1.003,2133.9,25.55,27.64,26.96,27.0,27.96,863.42,864.27,130.616669,53.77,1.0002,604,0,9.024,1.00514,3.31,18490,19,30,52.68,7.2,55.71,8.05,55.71,8.05,55.71,8.05,360.41,336.8,419.26,455.86,420.44,458.36,420.59,458.7,420.59,458.7,0.48,0.0,101.41,0,-1.980938,30.746922,1316.6,12,2.149034,1.0,926.3,31763.9,223,1017,11.2,32627.4,-218,672,177.6,89688.2,-155,986,3393.6,407366144.0,-37143,87543,1284.0,766543936.0,-67165,97317,1067.3,190931616.0,-31202,46917,0.0,93.3,0.0,0.0,0.0,6.7,0,0.219041,0.14103,0.074451,0.039082,23.972832,6.02739
40:57:53,1669783710,2022-11-30T04:48:30,2022-11-30T06:48:30,1.004,2134.0,25.55,27.72,26.96,27.0,28.1,863.52,864.5,130.550003,53.68,1.0005,604,0,9.025,1.00436,3.31,18482,19,30,57.97,167.01,61.3,186.76,61.3,186.76,61.3,186.76,396.59,7816.92,461.36,10578.25,462.65,10637.81,462.82,10645.39,462.82,10645.39,0.48,0.0,101.4159,0,-1.980972,30.746988,1354.5,12,0.576708,0.8,961.4,19448.2,569,1370,-67.1,33334.1,-357,216,45.8,53053.7,-142,803,1590.4,388797280.0,-41273,55965,2729.9,243484048.0,-42393,38823,362.4,94909024.0,-28463,21323,0.0,93.3,0.0,0.0,0.0,6.7,0,0.217379,0.037058,0.074581,0.038103,23.971924,6.027418
40:58:23,1669783740,2022-11-30T04:49:00,2022-11-30T06:49:00,1.006,2134.1,25.57,27.74,26.94,27.0,27.88,863.52,864.47,130.75,55.05,1.0002,605,0,9.015,1.00147,3.31,18473,19,30,76.01,8.45,80.38,9.45,80.38,9.45,80.38,9.45,520.04,395.59,604.96,535.47,606.66,538.38,606.88,538.66,606.88,538.66,0.47,0.0,101.423,0,-1.981124,30.747034,1367.3,12,0.04112,0.7,542.6,16266.8,291,717,122.4,10581.6,-68,338,832.9,4872.8,710,999,680.4,50982312.0,-12416,24377,2123.3,25185612.0,-6658,12678,-547.1,63851216.0,-14166,22855,0.0,0.0,0.0,0.0,0.0,100.0,0,0.226736,0.095066,0.082775,0.038075,23.972889,6.027311
40:58:53,1669783770,2022-11-30T04:49:30,2022-11-30T06:49:30,1.005,2134.2,25.61,27.8,27.03,27.0,27.98,863.4,864.49,130.800003,54.68,1.0001,605,0,9.018,1.00147,3.31,18464,19,30,74.73,121.43,79.03,135.78,79.03,135.78,79.03,135.78,511.26,5683.08,594.75,7690.84,596.42,7734.12,596.64,7739.66,596.64,7739.66,0.49,0.0,101.4309,0,-1.981172,30.746977,1371.8,12,0.451806,0.8,739.7,37021.4,298,1013,-115.8,29585.9,-480,102,572.4,61705.9,125,1036,3377.5,480685472.0,-62685,66736,-665.5,338653184.0,-44065,58248,1380.4,259717808.0,-42988,36032,0.0,73.3,0.0,0.0,0.0,26.7,13,0.217755,0.138001,0.074569,0.03812,23.972868,6.02735
40:59:23,1669783800,2022-11-30T04:50:00,2022-11-30T06:50:00,1.006,2134.3,25.63,27.88,27.08,27.0,28.06,863.53,864.55,131.5,55.43,1.0,606,0,9.015,1.00321,3.31,18456,19,30,49.95,1.98,52.83,2.21,52.83,2.21,52.83,2.21,341.75,92.71,397.56,125.42,398.68,126.16,398.82,126.27,398.82,126.27,0.53,0.0,101.4375,0,-1.981121,30.746923,1377.2,11,0.288868,1.0,789.5,967.2,727,876,-24.2,15176.0,-232,280,610.8,1715.3,507,686,-306.5,13871050.0,-9502,11646,442.1,13779571.0,-7455,9555,-1189.6,15687293.0,-15093,5328,0.0,100.0,0.0,0.0,0.0,0.0,0,0.21894,0.178766,0.074512,0.038113,23.972813,6.027265
40:59:53,1669783830,2022-11-30T04:50:30,2022-11-30T06:50:30,1.006,2134.4,25.68,27.98,27.11,27.0,27.91,863.49,864.62,130.600006,55.48,0.9999,607,0,9.007,1.0009,3.31,18447,19,30,59.95,87.01,63.4,97.29,63.4,97.29,63.4,97.29,410.16,4072.25,477.14,5510.81,478.48,5541.75,478.65,5545.78,478.65,5545.78,0.51,0.0,101.4433,0,-1.981096,30.746803,1375.3,12,0.267794,1.1,790.6,1999.8,732,879,124.6,3020.2,29,237,607.3,3615.8,493,698,-246.7,1448376.6,-2922,1601,494.9,14768120.0,-11208,13667,-282.2,4956770.5,-4663,5083,0.0,100.0,0.0,0.0,0.0,0.0,0,0.217006,0.070709,0.074397,0.038099,23.972916,6.027282
41:00:23,1669783860,2022-11-30T04:51:00,2022-11-30T06:51:00,1.004,2134.5,25.71,28.06,27.12,27.59,28.12,863.43,864.74,131.066666,54.71,1.0,607,0,9.01,1.00282,3.31,18439,19,30,51.64,4.75,54.61,5.31,54.61,5.31,54.61,5.31,353.29,222.27,410.98,300.72,412.13,302.47,412.28,302.66,412.28,302.66,0.49,0.0,101.4492,0,-1.981025,30.746887,1374.8,12,0.815204,0.9,730.1,6296.0,593,894,160.0,6309.0,32,392,664.4,8876.7,475,808,691.5,7042711.5,-4480,8085,-468.0,29408052.0,-19635,10062,-405.2,18915528.0,-9371,13177,0.0,100.0,0.0,0.0,0.0,0.0,0,0.218166,0.123444,0.074366,0.039101,23.971956,6.027379
41:00:53,1669783890,2022-11-30T04:51:30,2022-11-30T06:51:30,1.004,2134.6,25.75,28.16,27.16,27.59,28.16,863.57,864.78,130.933334,53.17,1.0001,607,0,9.009,1.00379,3.31,18430,19,30,46.76,3.35,49.44,3.75,49.44,3.75,49.44,3.75,319.88,156.91,372.12,212.33,373.17,213.52,373.3,213.67,373.3,213.67,0.51,0.0,101.4544,0,-1.981158,30.746883,1369.3,12,0.839876,1.0,830.0,1647.9,749,886,31.1,6959.9,-103,175,553.2,5184.6,419,666,441.1,4903871.5,-7735,6212,-273.0,9609942.0,-9310,5538,-654.5,4752507.0,-7070,3963,0.0,100.0,0.0,0.0,0.0,0.0,0,0.225603,0.167961,0.082602,0.038117,23.972792,6.027322
